query_cluster,owner_url,action,notes
subscript generator,/,owner,Homepage primary
subscript copy paste,/,owner,General paste + tool
subscript numbers / subscript 2,subscript-numbers-symbols-copy-paste.html,owner,Digit board U+2080-U+2089
subscript letters,subscript-letters-copy-paste.html,owner,Supported vs unsupported table
CO2 H2O chem formulas,co2-h2o-subscript-copy-paste.html,owner,8+ formula board
what is subscript,what-is-subscript.html,create,Homepage demoted to short para + link
subscript vs superscript,subscript-vs-superscript.html,owner,Comparison table
subscript google docs,google-docs-subscript-superscript.html,owner,Suggesting mode detail
subscript in whatsapp,subscript-in-whatsapp.html,owner,Mobile vs desktop paste
subscript in word,word-subscript-superscript.html,owner,Cross-document paste break
subscript in powerpoint,subscript-in-powerpoint.html,owner,Outline view quirk
superscript generator,superscript-generator.html,owner,Exponent cluster
small text generator,small-text-generator.html,owner,Social intent only
what is superscript,what-is-superscript.html,owner,Already live
homepage vs what-is-subscript,index.html + what-is-subscript.html,demote,Strip full definition from homepage H2 section
